measure,correct_label,label,message
TN,ham,ham,depends would like treated
TN,ham,ham,right brah see later
TN,ham,ham,waiting e car mum lor u leh reach home already
TP,spam,spam,account shows unredeemed points claim call identifier code xxxxx expires
TP,spam,spam,want new video handset anytime network mins half price line rental camcorder reply call delivery tomorrow
TN,ham,ham,went fast asleep deartake care
TN,ham,ham,means fat head
TN,ham,ham,sounds like plan cardiff still still cold im sitting radiator
TN,ham,ham,serious like proper tongued
TN,ham,ham,shes good wondering wont say hi shes smiling coping long distance
TN,ham,ham,noe shes da car later c lar im wearing shorts
TP,spam,spam,important customer service announcement call freephone
TN,ham,ham,yeah whatever lol
TN,ham,ham,today accept dayu accept brother sister lover lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy
TN,ham,ham,ard lor ok message lor
TN,ham,ham,ok c u
TN,ham,ham,eh ur laptop got stock lei say mon muz come take look c got
TN,ham,ham,need ke qi Ã¬Ã¯ bored izzit suddenly thk
TN,ham,ham,wish dont think gon na snow much flurries usually get melt hit ground eek havent snow since ltgt even born
TP,spam,spam,freeringtone reply real poly eg pushbutton dontcha babygoodbye golddigger webeburnin tone free u join
TN,ham,ham,thing change sentence want concentrate educational career im leaving
TN,ham,ham,oh really perform write paper go movie home midnight huh
TN,ham,ham,okay lor still let us go ah coz know later drop cards box right
TN,ham,ham,izzit still raining
TN,ham,ham,wasnt enough trouble sleeping
TN,ham,ham,havent add yet right
TN,ham,ham,lol really need remember eat im drinking appreciate keeping company night babe smiles
TN,ham,ham,babe lost try rebooting
TN,ham,ham,yes nigh cant aha
TN,ham,ham,thk got ta go home urself cos ill b going shopping frens present
TN,ham,ham,nooooooo im gon na bored death day cable internet outage
TN,ham,ham,sos amount get pls
TN,ham,ham,playin space poker u
TN,ham,ham,come guoyang go n tell u told
TN,ham,ham,need get
TN,ham,ham,r giving second chance rahul dengra
TN,ham,ham,yeah fact asked needed anything like hour ago much
TN,ham,ham,first strike red one bird antelope begin toplay fieldof selfindependence believe flower contention growrandom
TN,ham,ham,wan go c doctor
TN,ham,ham,daddy bb
TP,spam,spam,free msg get gnarls barkleys crazy ringtone totally free reply go message right
TN,ham,ham,shes borderline yeah whatever
TN,ham,ham,got call landline number asked come anna nagar go afternoon
TN,ham,ham,lor ya go dinner together
TN,ham,ham,gentle princess make sweet gentle love
TN,ham,ham,u doin baby girl hope u okay every time call ure phone miss u get touch
TN,ham,ham,sorry went bed early nightnight
TN,ham,ham,like think theres always possibility pub later
TN,ham,ham,hmm yeah grooved im looking forward pound special
TN,ham,ham,got video tape pple type message lor u free wan help hee cos noe u wan watch infernal affairs ask u along asking shuhui oso
TN,ham,ham,hi dude hw r u da realy mising u today
TN,ham,ham,hungry buy food good lei mum n yun dun wan juz buy little bit
TP,spam,spam,refused loan secured unsecured cant get credit call free text back help
TN,ham,ham,probably wont eat today think im gon na pop weekend u miss
TN,ham,ham,knew u slept v late yest wake late
TN,ham,ham,haha dont angry take practice real thing
TN,ham,ham,one day training
TN,ham,ham,could kiss feel next
TN,ham,ham,nice day dear
TN,ham,ham,sent lanre fakeyes eckankar details mail box
TN,ham,ham,dad back ph
TP,spam,spam,specially selected receive award call lines close cost tcs apply ag promo
TN,ham,ham,ask say please message
TN,ham,ham,e timing go w u lor
TN,ham,ham,love aathilove u lot
TN,ham,ham,callin say hi take care bruv
TP,spam,spam,valued vodafone customer computer picked win prize collect easy call
TN,ham,ham,u turn heater heater set ltgt degrees
TN,ham,ham,thanks message really appreciate sacrifice im sure process direct pay find way back test tomorrow im class wonderful day
TN,ham,ham,thats trouble classes go well youre due dodgey one expecting mine tomo see recovery time place
TP,spam,spam,free video camera phones half price line rental mths cross ntwk mins txts call
TN,ham,ham,wot u j
TN,ham,ham,night night see tomorrow
TN,ham,ham,roger weÃ»re probably going rem
TN,ham,ham,u think girl propose u today seing ur bloody funky shit fucking faceasssssholeeee
TN,ham,ham,wish u feel alone
TP,spam,spam,great new offer double mins double txt best orange tariffs get latest camera phones free call free tcs
TN,ham,ham,reason team budget available last buy unsold players base rate
TN,ham,ham,ceri u rebel sweet dreamz little buddy c ya needs blokes
FN,spam,ham,ringtoneking
TN,ham,ham,huh cant thk oredi many pages
TN,ham,ham,frens go lor alone wif mum n sis lor
TN,ham,ham,nationwide auto centre something like newport road liked
TN,ham,ham,hey missed tm last night phone charge smiles meeting friend shortly
TN,ham,ham,whatever juliana whatever want
TN,ham,ham,friendship game play word say doesnt start march ends may tomorrow yesterday today e
TP,spam,spam,ringtone club new polys direct mobile every week
TN,ham,ham,hello sort town already dont rush home eating nachos let know eta
TN,ham,ham,ok lor anyway thk cant get tickets cos like quite late already u wan go look ur frens darren wif
TP,spam,spam,bank granite issues strongbuy explosive pick members nasdaq symbol cdgt per
TN,ham,ham,way ur home
TN,ham,ham,dizzamn aight ill ask suitemates get back
TN,ham,ham,nimbomsons yep phone knows one obviously cos thats real word
TN,ham,ham,love cuddle want hold strong arms right
TN,ham,ham,r u continent
TN,ham,ham,well pay like ltgt yrs difficult
TP,spam,spam,bored housewives chat n date btnational rate landlines
TP,spam,spam,tried call reply sms video mobile mins unlimited text free camcorder reply call del thurs
TN,ham,ham,kkwhen give treat
TP,spam,spam,time tried contact u u prize claim easy call per minute btnationalrate
TN,ham,ham,hes gon na worry nothing wont give money use
TN,ham,ham,get gift year didnt get anything bad
TN,ham,ham,somewhere beneath pale moon light someone think u dreams come true goodnite amp sweet dreams
TN,ham,ham,well theres pattern emerging friends telling drive come smoke telling im weed fiendmake smoke muchimpede things see im hesitant
TN,ham,ham,ow u deyi paid told u would call
TN,ham,ham,im fine babes aint much tho saw scary movie yest quite funny want afternoon town mall sumthinxx
TN,ham,ham,im reaching home min
TN,ham,ham,forgot working today wan na chat things ok drop text youre free bored etc ill ring hope well nose essay xx
TN,ham,ham,ha must walk everywhere take tram cousin said walk vic market hotel
TP,spam,spam,win meetgreet westlife u currently tour text cost std text
TP,spam,spam,please call customer service representative freephone guaranteed cash prize
TN,ham,ham,discussed mother ah
TN,ham,ham,ok
TN,ham,ham,sorry cant text amp drive coherently see twenty
TP,spam,spam,receiving weeks triple echo ringtone shortly enjoy
TN,ham,ham,place get rooms cheap
TN,ham,ham,eek thats lot time especially since american pie like minutes long cant stop singing
TN,ham,ham,gran onlyfound afew days agocusoon honi
TP,spam,spam,uve selected stay top british hotels nothing holiday valued dial claim national rate call
TN,ham,ham,university southern california
TN,ham,ham,pick rayan macleran
TN,ham,ham,u gd lor go shopping got stuff u wan watch infernal affairs come lar
TN,ham,ham,well balls time make calls
TN,ham,ham,wat time wan today
TN,ham,ham,ltgt mca conform
TN,ham,ham,oh ok wats ur email
TN,ham,ham,yes princess going make moan
TN,ham,ham,lol ok didnt remember til last nite
TN,ham,ham,anyway many good evenings u
TN,ham,ham,cool ill text
TN,ham,ham,sorry vikky im watching olave mandara movie kano trishul theatre wit frnds
TN,ham,ham,im happy babe woo hoo party dude
TN,ham,ham,taking italian food pretty dress panties
TN,ham,ham,wot u thout u gon na call txt bak luv k
TP,spam,spam,chosen receive award pls call claim number collect award selected receive valued mobile customer
TN,ham,ham,holding
TN,ham,ham,dont flatter tell man mine two pints carlin ten minutes please
TN,ham,ham,hope scared
TN,ham,ham,cant pick phone right pls send message
TN,ham,ham,im home n ready
TP,spam,spam,please call customer service representative freephone guaranteed cash prize
TN,ham,ham,time u get
TN,ham,ham,literally bed like ltgt hours
TN,ham,ham,yes reg ciao
TN,ham,ham,mean website yes
TP,spam,spam,win cash prize prize worth
TP,spam,spam,thanks ringtone order reference number mobile charged tone arrive please call customer services
TN,ham,ham,lol could starve lose pound end day
TN,ham,ham,yeah thats impression got
TN,ham,ham,ok ok take care understand
TN,ham,ham,motivate behind every darkness shining light waiting find behind every best friend always trust love bslvyl
TN,ham,ham,ya ok dinner
TN,ham,ham,slept timeyou
TN,ham,ham,dont make ne plans nxt wknd coz wants us come ok
TN,ham,ham,school starting stay whats weather like food social support system like friends school things important
TN,ham,ham,ha ha nan yalrigu heltiniiyo kothi chikku u shared many things wit meso far didnt told body even uttered word abt u ur trusting much tell others plz nxt time dont use words meok chikkub
TN,ham,ham,noice text youre
TN,ham,ham,hi di yijue meeting pm esaplanade tonight
TP,spam,spam,moby pub quizwin high street prize u know new duchess cornwall txt first name stop sp
TP,spam,spam,weeks savamob member offers accessible call details savamob pobox savamob offers mobile
TN,ham,ham,aight ive set free think could text blakes address occurs im quite sure im thought
TN,ham,ham,hi dear saw dear happy battery low
TN,ham,ham,ages hows abj
TN,ham,ham,prof passed papers sem congrats student enna kalaachutaarama prof gud mrng
TN,ham,ham,dont kick coco hes
TN,ham,ham,fyi im gon na call sporadically starting like ltgt bc doin shit
TP,spam,spam,contacted dating service someone know find call mobile landline
FN,spam,ham,tbspersolvo chasing us since sept definitely paying thanks information ignore kath manchester
TN,ham,ham,hope youÃ¥Ãµre much fun without see u tomorrow love jess x
TN,ham,ham,ok wont call disturb one know avoiding burden
TN,ham,ham,ive reached home n bathe liao u call
TP,spam,spam,loans purpose even bad credit tenants welcome call noworriesloanscom
TN,ham,ham,actual exam harder nbme
TN,ham,ham,lot sickness thing going round take easy hope u feel better soon lol
TN,ham,ham,god picked flower dippeditinadew lovingly touched itwhichturnedinto u gifted tomeandsaidthis friend
TP,spam,spam,kick new season free goals news ur mobile txt ur club name eg villa
TN,ham,ham,hey sathya till dint meet even single time saw situation sathya
TN,ham,ham,gam gone outstanding innings
TN,ham,ham,played smash bros ltgt religiously
TN,ham,ham,sir good morning hope good weekend called let know able raise ltgt dad however said would make rest available mid feb amount still quite short hoping would help good day abiola
TN,ham,ham,hurry home soup done
TN,ham,ham,check rooms befor activities
TN,ham,ham,good afternoon love good see words ym get tm smart move slave smiles drink coffee await
TN,ham,ham,quite ok bit ex u better go eat smth else ill feel guilty
TP,spam,spam,orange brings ringtones time chart heroes free hit week go ringtones pics wap stop receiving tips reply stop
TN,ham,ham,lem know youre
TP,spam,spam,private account statement shows unredeemed points call identifier code expires
TN,ham,ham,needs stop going bed make fucking dealing
TN,ham,ham,love brother time talk english grins say hey muhommad penny says hello across sea
TP,spam,spam,tried call reply sms video mobile mins unlimited text free camcorder reply call
TN,ham,ham,hey doc pls want get nice shirt hubby nice fiting ones budget ltgt k help pls load card abi hwkeep posted luv mj
TN,ham,ham,remain unconvinced isnt elaborate test willpower
TN,ham,ham,life nothing wen v get everything life everything wen v miss something real value people wil realized absence gud mrng
TN,ham,ham,miss
TN,ham,ham,aint answerin phone actually pretty reasonable hour im sleepy
TN,ham,ham,hey rite u put evey mnth
TN,ham,ham,going bed prin
TN,ham,ham,think see tomo
TN,ham,ham,u dun drive go sch
TN,ham,ham,home lei
TP,spam,spam,gsoh good spam ladiesu could b male gigolo join uks fastest growing mens club reply oncall mjzgroup reply stop
TN,ham,ham,ok come ur home half hour
TP,spam,spam,u secret admirer looking make contact ufind rreveal thinks ur specialcall
TN,ham,ham,u hav frnd name ashwini ur college
TN,ham,ham,jus finish lunch way home lor tot u dun wan stay sch today
TN,ham,ham,k coming class
TP,spam,spam,hot live fantasies call per min ntt ltd po box croydon national rate call
TN,ham,ham,pls send address sir
TN,ham,ham,want lick pussy
TN,ham,ham,yo gon na still stock tomorrowtoday im trying get dubsack
TP,spam,spam,urgent mobile number awarded prize guaranteed call landline claim valid
TN,ham,ham,ill see prolly yeah
TN,ham,ham,thought could go dinner ill treat seem ok
TN,ham,ham,stand away doesnt heart ache without dont wonder dont crave
TN,ham,ham,sorry never hear unless book one kinda jokethet really looking skinny white girls one lineyou much camera something like theyre casting look
TN,ham,ham,doinghow
TN,ham,ham,sure thing big man hockey elections shouldnÃ»t go longer hour though
TN,ham,ham,watch lor saw swatch one thk quite ok ard need opinion leh
TN,ham,ham,hiya u like hlday pics looked horrible took mo hows camp amrca thing speak soon serena
TN,ham,ham,babe goes day miss already love loving kiss hope everything goes well
TN,ham,ham,yunny im goin late
TN,ham,ham,doc prescribed morphine cause pain meds arent enough waiting mom bring med kick fast im gon na try later
TN,ham,ham,cool want go kappa meet outside mu
TN,ham,ham,hey sexy buns told adore loverboy hope remember thank sister law meatballs grins love babe
TN,ham,ham,may b approve panalambut posts
TP,spam,spam,spjanuary male sale hot gay chat cheaper call national rate cheap peak stop texts call
TN,ham,ham,sorry ill call later
TN,ham,ham,dont thnk wrong calling us
TN,ham,ham,im workin get job
TN,ham,ham,youre done mean
TN,ham,ham,ur luck love someone ur fortune love one loves u
TN,ham,ham,hi baby ive got back work wanting see u allday hope didnt piss u phone today u give call xxx
TP,spam,spam,freemsg todays day ready im horny live town love sex fun games netcollex ltd per msg reply stop end
TN,ham,ham,yahoo boys bring perf legal
TN,ham,ham,need say anything know outsider
TN,ham,ham,ever one foot
