label,message
ham,depends would like treated
ham,right brah see later
ham,waiting e car mum lor u leh reach home already
spam,account shows unredeemed points claim call identifier code xxxxx expires
spam,want new video handset anytime network mins half price line rental camcorder reply call delivery tomorrow
ham,went fast asleep deartake care
ham,means fat head
ham,sounds like plan cardiff still still cold im sitting radiator
ham,serious like proper tongued
ham,shes good wondering wont say hi shes smiling coping long distance
ham,noe shes da car later c lar im wearing shorts
spam,important customer service announcement call freephone
ham,yeah whatever lol
ham,today accept dayu accept brother sister lover lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy
ham,ard lor ok message lor
ham,ok c u
ham,eh ur laptop got stock lei say mon muz come take look c got
ham,need ke qi ìï bored izzit suddenly thk
ham,wish dont think gon na snow much flurries usually get melt hit ground eek havent snow since ltgt even born
spam,freeringtone reply real poly eg pushbutton dontcha babygoodbye golddigger webeburnin tone free u join
ham,thing change sentence want concentrate educational career im leaving
ham,oh really perform write paper go movie home midnight huh
ham,okay lor still let us go ah coz know later drop cards box right
ham,izzit still raining
ham,wasnt enough trouble sleeping
ham,havent add yet right
ham,lol really need remember eat im drinking appreciate keeping company night babe smiles
ham,babe lost try rebooting
ham,yes nigh cant aha
ham,thk got ta go home urself cos ill b going shopping frens present
ham,nooooooo im gon na bored death day cable internet outage
ham,sos amount get pls
ham,playin space poker u
ham,come guoyang go n tell u told
ham,need get
ham,r giving second chance rahul dengra
ham,yeah fact asked needed anything like hour ago much
ham,first strike red one bird antelope begin toplay fieldof selfindependence believe flower contention growrandom
ham,wan go c doctor
ham,daddy bb
spam,free msg get gnarls barkleys crazy ringtone totally free reply go message right
ham,shes borderline yeah whatever
ham,got call landline number asked come anna nagar go afternoon
ham,lor ya go dinner together
ham,gentle princess make sweet gentle love
ham,u doin baby girl hope u okay every time call ure phone miss u get touch
ham,sorry went bed early nightnight
ham,like think theres always possibility pub later
ham,hmm yeah grooved im looking forward pound special
ham,got video tape pple type message lor u free wan help hee cos noe u wan watch infernal affairs ask u along asking shuhui oso
ham,hi dude hw r u da realy mising u today
ham,hungry buy food good lei mum n yun dun wan juz buy little bit
spam,refused loan secured unsecured cant get credit call free text back help
ham,probably wont eat today think im gon na pop weekend u miss
ham,knew u slept v late yest wake late
ham,haha dont angry take practice real thing
ham,one day training
ham,could kiss feel next
ham,nice day dear
ham,sent lanre fakeyes eckankar details mail box
ham,dad back ph
spam,specially selected receive award call lines close cost tcs apply ag promo
ham,ask say please message
ham,e timing go w u lor
ham,love aathilove u lot
ham,callin say hi take care bruv
spam,valued vodafone customer computer picked win prize collect easy call
ham,u turn heater heater set ltgt degrees
ham,thanks message really appreciate sacrifice im sure process direct pay find way back test tomorrow im class wonderful day
ham,thats trouble classes go well youre due dodgey one expecting mine tomo see recovery time place
spam,free video camera phones half price line rental mths cross ntwk mins txts call
ham,wot u j
ham,night night see tomorrow
ham,roger weûre probably going rem
ham,u think girl propose u today seing ur bloody funky shit fucking faceasssssholeeee
ham,wish u feel alone
spam,great new offer double mins double txt best orange tariffs get latest camera phones free call free tcs
ham,reason team budget available last buy unsold players base rate
ham,ceri u rebel sweet dreamz little buddy c ya needs blokes
ham,ringtoneking
ham,huh cant thk oredi many pages
ham,frens go lor alone wif mum n sis lor
ham,nationwide auto centre something like newport road liked
ham,hey missed tm last night phone charge smiles meeting friend shortly
ham,whatever juliana whatever want
ham,friendship game play word say doesnt start march ends may tomorrow yesterday today e
spam,ringtone club new polys direct mobile every week
ham,hello sort town already dont rush home eating nachos let know eta
ham,ok lor anyway thk cant get tickets cos like quite late already u wan go look ur frens darren wif
spam,bank granite issues strongbuy explosive pick members nasdaq symbol cdgt per
ham,way ur home
ham,dizzamn aight ill ask suitemates get back
ham,nimbomsons yep phone knows one obviously cos thats real word
ham,love cuddle want hold strong arms right
ham,r u continent
ham,well pay like ltgt yrs difficult
spam,bored housewives chat n date btnational rate landlines
spam,tried call reply sms video mobile mins unlimited text free camcorder reply call del thurs
ham,kkwhen give treat
spam,time tried contact u u prize claim easy call per minute btnationalrate
ham,hes gon na worry nothing wont give money use
ham,get gift year didnt get anything bad
ham,somewhere beneath pale moon light someone think u dreams come true goodnite amp sweet dreams
ham,well theres pattern emerging friends telling drive come smoke telling im weed fiendmake smoke muchimpede things see im hesitant
ham,ow u deyi paid told u would call
ham,im fine babes aint much tho saw scary movie yest quite funny want afternoon town mall sumthinxx
ham,im reaching home min
ham,forgot working today wan na chat things ok drop text youre free bored etc ill ring hope well nose essay xx
ham,ha must walk everywhere take tram cousin said walk vic market hotel
spam,win meetgreet westlife u currently tour text cost std text
spam,please call customer service representative freephone guaranteed cash prize
ham,discussed mother ah
ham,ok
ham,sorry cant text amp drive coherently see twenty
spam,receiving weeks triple echo ringtone shortly enjoy
ham,place get rooms cheap
ham,eek thats lot time especially since american pie like minutes long cant stop singing
ham,gran onlyfound afew days agocusoon honi
spam,uve selected stay top british hotels nothing holiday valued dial claim national rate call
ham,university southern california
ham,pick rayan macleran
ham,u gd lor go shopping got stuff u wan watch infernal affairs come lar
ham,well balls time make calls
ham,wat time wan today
ham,ltgt mca conform
ham,oh ok wats ur email
ham,yes princess going make moan
ham,lol ok didnt remember til last nite
ham,anyway many good evenings u
ham,cool ill text
ham,sorry vikky im watching olave mandara movie kano trishul theatre wit frnds
ham,im happy babe woo hoo party dude
ham,taking italian food pretty dress panties
ham,wot u thout u gon na call txt bak luv k
spam,chosen receive award pls call claim number collect award selected receive valued mobile customer
ham,holding
ham,dont flatter tell man mine two pints carlin ten minutes please
ham,hope scared
ham,cant pick phone right pls send message
ham,im home n ready
spam,please call customer service representative freephone guaranteed cash prize
ham,time u get
ham,literally bed like ltgt hours
ham,yes reg ciao
ham,mean website yes
spam,win cash prize prize worth
spam,thanks ringtone order reference number mobile charged tone arrive please call customer services
ham,lol could starve lose pound end day
ham,yeah thats impression got
ham,ok ok take care understand
